ClassName,QuizName,Topic,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Difficulty,Explanation
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Normalization,The main goal of normalization is to:,Increase redundancy,Reduce redundancy and anomalies,Avoid using foreign keys,Store everything in one table,B,Easy,Normalization reduces repetition and update/insert/delete anomalies.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Normalization,A table is in 1NF when:,It has no partial dependency,It has atomic values and no repeating groups,It has no transitive dependency,It has a surrogate key,B,Medium,1NF requires atomic values and no repeating groups.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Normalization,2NF mainly eliminates:,Repeating groups,Partial dependency on a composite key,Transitive dependency,NULL values,B,Medium,2NF removes attributes depending on part of a composite key.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Normalization,3NF mainly eliminates:,Partial dependency,Repeating groups,Transitive dependency,Primary keys,C,Medium,3NF removes non-key attributes depending on other non-key attributes.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Joins,Which JOIN returns only the matching rows from both tables?,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL OUTER JOIN,C,Easy,INNER JOIN returns only rows that match in both tables.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Joins,A LEFT JOIN returns:,All rows from left table and matching rows from right table,Only matching rows,All rows from right table and matching from left,No rows if no match,A,Easy,LEFT JOIN keeps all rows from the left table.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Aggregation,Which clause is used to filter groups created by GROUP BY?,WHERE,HAVING,ORDER BY,LIMIT,B,Medium,HAVING filters after grouping; WHERE filters before grouping.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Aggregation,Which function returns the number of rows in a result set?,SUM(),AVG(),COUNT(),MAX(),C,Easy,COUNT() counts rows (or non-NULL values depending on usage).
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Indexing,What is the main purpose of an index?,To store backup copies,To speed up data retrieval,To enforce normalization,To replace primary keys,B,Easy,Indexes speed up searches by providing a faster lookup path.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Indexing,A trade-off of adding many indexes is:,Faster INSERT/UPDATE/DELETE,Slower read queries,More storage and slower writes,Indexes remove duplicates,C,Medium,Indexes take space and slow down writes because they must be updated.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Transactions,Which command permanently saves changes made in a transaction?,ROLLBACK,COMMIT,SAVEPOINT,GRANT,B,Easy,COMMIT makes transaction changes permanent.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Transactions,ROLLBACK is used to:,Add a primary key,Undo changes in a transaction,Create a table,Grant permissions,B,Easy,ROLLBACK undoes uncommitted changes.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,ACID,Which ACID property means “all-or-nothing”?,Atomicity,Consistency,Isolation,Durability,A,Medium,Atomicity ensures either all steps succeed or none do.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,ACID,Which storage engine in MySQL is commonly used for ACID-compliant transactions?,MyISAM,InnoDB,CSV,MEMORY,B,Medium,InnoDB supports transactions and foreign keys.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Data Independence,Data independence means:,Data never changes,Applications are unaffected by some database changes,Only admins can change schema,Backups are automatic,B,Medium,Logical/physical independence allows changes without breaking apps.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,SQL DCL,Which command is used to give a user permission to read a table?,REVOKE,GRANT,COMMIT,TRUNCATE,B,Medium,GRANT provides privileges to users/roles.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Views,A view is best described as:,A physical copy of data,A stored SELECT query that behaves like a table,A backup file,A primary key,B,Medium,A view is a virtual table based on a query.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,ER Modeling,"In an ER model, an entity is most similar to a:",Row,Column,Table,Index,C,Easy,Entities typically map to tables in relational design.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Anomalies,Which is an example of an update anomaly?,Cannot insert a row without a foreign key,Updating the same fact in many rows,Deleting an index,Creating a new database,B,Medium,Redundant data causes updates to be repeated and risk inconsistency.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: NoSQL Basics,MongoDB stores data primarily as:,Rows in tables,XML files,JSON-like documents (BSON),Spreadsheets,C,Easy,MongoDB is a document database; documents are stored as BSON.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: NoSQL Basics,"In MongoDB, the equivalent of a table is a:",Collection,Schema,Row,View,A,Easy,"Collections hold documents, similar to tables holding rows."
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: NoSQL Basics,"In MongoDB, the equivalent of a row/record is a:",Document,Index,Database,Column,A,Easy,Documents are individual records in a collection.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB CRUD,Which command inserts one document into a collection?,db.col.insertOne({...}),db.col.find({...}),db.col.updateMany({...}),db.col.deleteOne({...}),A,Easy,insertOne adds a single document.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB CRUD,Which command finds all documents in a collection?,db.col.find(),db.col.insertMany(),db.col.drop(),db.col.aggregate(),A,Easy,find() with no filter returns all documents.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB CRUD,Which command updates multiple matching documents?,updateOne,updateMany,replaceOne,insertMany,B,Easy,updateMany updates all documents that match the filter.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB CRUD,Which command removes one matching document?,deleteOne,removeAll,dropOne,truncate,A,Easy,deleteOne removes a single matching document.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Schema Design,MongoDB is often described as 'schema-flexible' because:,Schemas are enforced by default,Documents in the same collection can have different fields,It cannot store JSON,It requires foreign keys,B,Medium,MongoDB allows varied document shapes within a collection.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Schema Design,When is embedding (nested documents) usually a good choice?,When data is frequently accessed together,When data must be normalized to 3NF,When you need SQL joins,When fields must be atomic,A,Medium,Embedding helps read performance when related data is retrieved together.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Schema Design,When is referencing (storing another document's _id) usually better?,When related data is rarely reused,When data is frequently reused across many documents,When you want to duplicate data,When you have only one document,B,Medium,Referencing reduces duplication when the same data is shared widely.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Indexes (MongoDB),What is the default primary key field in MongoDB documents?,_id,id,pk,doc_id,A,Easy,MongoDB automatically adds _id if not provided.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Indexes (MongoDB),What is the main purpose of indexes in MongoDB?,Make documents smaller,Speed up queries,Enforce foreign keys,Convert BSON to JSON,B,Easy,Indexes improve query performance similarly to RDBMS indexes.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Aggregation,MongoDB aggregation is primarily used to:,Create databases,Transform and summarize data in pipelines,Encrypt documents,Enforce 3NF,B,Medium,Aggregation pipelines process data through stages for analysis.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Replication,MongoDB replication primarily provides:,Only faster writes,High availability via multiple copies of data,Normalization,Mandatory joins,B,Medium,Replica sets keep copies of data for failover and reads.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Sharding,Sharding in MongoDB is used to:,Store data only in RAM,Scale horizontally by distributing data across servers,Remove indexes,Replace collections,B,Hard,Sharding partitions data across multiple machines for scale.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: CAP Theorem,A common interpretation of CAP theorem is that a distributed system can fully guarantee at most:,"One of Consistency, Availability, Partition tolerance","Two of Consistency, Availability, Partition tolerance",All three always,None of them,B,Hard,CAP states you must trade off between consistency and availability when partitions occur.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: ACID vs BASE,"Compared to ACID (RDBMS), BASE in NoSQL often emphasizes:",Strict consistency always,Eventual consistency and availability,Only durability,Only atomicity,B,Hard,"BASE commonly means Basically Available, Soft state, Eventual consistency."
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB vs MySQL,Which feature is more common in MySQL than in MongoDB (classic use)?,Flexible document structure,SQL joins across normalized tables,BSON storage,Replica sets,B,Medium,SQL joins are a hallmark of relational normalized schemas.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB Query,Which query finds documents where age is greater than 18?,db.users.find({age: {$gt: 18}}),db.users.find({age: {$lt: 18}}),db.users.find({age: 18}),db.users.find({$age: 18}),A,Medium,$gt means greater than.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: Use Cases,Which is a strong use case for MongoDB?,Highly relational banking ledger with complex joins,Flexible product catalog with varying attributes,Strictly normalized 3NF reporting warehouse,Legacy system requiring stored procedures,B,Medium,"Document DBs fit flexible, evolving schemas like catalogs and content."
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,MongoDB/NoSQL: MongoDB Transactions,"For multi-document transactions in MongoDB, which deployment requirement is commonly needed?",They work only on standalone servers,They require a replica set or sharded cluster configuration,They require SQL stored procedures,They require every field to be indexed,B,Hard,MongoDB supports multi-document transactions on replica sets and sharded clusters (not on standalone).
